report_id,pendapatan_bunga,beban_bunga,pendapatan_beban_bunga_bersih,laba_rugi_bersih
1,35883912,4886957,30996955,21633871
2,50686416,6731407,43955009,31396033
3,58272982,7725753,50547229,35990685
4,73365224,9701835,63663389,46226027
5,80816346,10659079,70157267,50472852
6,7726284,1029439,6696845,4726267
7,14868070,1991413,12876657,8975717
8,30345087,4080280,26264807,20211428
9,38295167,5175074,33120093,25162919
10,53798132,7246524,46551608,34707591
11,61382110,8265186,53116924,39058614
12,76761213,10285607,66475606,48256793
13,5290178,2169859,3120319,1485136
14,10201085,4212648,5988437,3041043
15,20760731,8553707,12207024,6864112
16,26090733,10808621,15282112,8569285
17,37057198,14879270,22177928,12517913
18,42466240,16904310,25561930,14221416
19,53363812,21109094,32254718,18074496
20,58805693,23190362,35615331,19812356
21,5476555,2302817,3173738,1629689
22,10484887,4391455,6093432,3293852
23,21576731,8942906,12633825,6872150
24,26973550,11237692,15735858,8454070
25,38389114,16193803,22195311,11870495
26,44039797,18781214,25258583,13404383
27,19857774,11987075,7870699,1805593
28,23548810,12291641,11257169,1994844
29,10143692,5973435,4170257,983802
30,10914637,5975586,4939051,1010409
31,5117413,2925319,2192094,555757
32,4796987,2896218,1900769,251967
33,2627163,1503125,1124038,275524
34,2361257,1507465,853792,101667
35,17279457,10462644,6816813,1602512
36,19962556,10748164,9214392,1797895
37,12456527,7419724,5036803,1160253
38,13741379,7552961,6188418,1198704
39,27139231,16346943,10792288,2403473
40,24797482,14929650,9867832,2200249
